608,4,G,-10588567,,,,,
614,4,G,-10851483,,,,,
616,4,G,-10195606,,,,,
622,4,G,-10063764,,,,,
625,4,B,-10325892,,,,,
629,4,B,-10852237,,,,,
632,5,R,-8891280,,,,,
638,4,R,-8167814,,,,,
2,11,G,-9338803,,,,,
4,9,G,-9535925,,,,,
9,10,G,-9667225,,,,,
13,9,G,-9667225,,,,,
17,10,G,-9012895,,,,,
21,9,G,-9144224,,,,,
24,9,R,-8620181,,,,,
30,9,R,-8817560,,,,,
32,9,R,-8163476,,,,,
38,9,R,-8097682,,,,,
40,9,R,-8819856,,,,,
46,9,R,-8622734,,,,,
48,9,R,-7968411,,,,,
54,9,R,-7771032,,,,,
57,9,G,-9406113,,,,,
61,9,G,-9471906,,,,,
64,9,R,-8164524,,,,,
70,9,R,-8164524,,,,,
72,9,R,-8883114,,,,,
78,9,R,-8619943,,,,,
81,9,G,-9406867,,,,,
85,8,G,-9472660,,,,,
88,9,R,-9015695,,,,,
94,9,R,-8949646,,,,,
97,9,G,-9407146,,,,,
101,8,G,-9341353,,,,,
104,9,R,-9079964,,,,,
110,8,R,-9079964,,,,,
113,9,G,-9472914,,,,,
117,8,G,-9275278,,,,,
120,9,R,-8884118,,,,,
126,8,R,-8884118,,,,,
129,9,G,-9211037,,,,,
133,8,G,-9342366,,,,,
137,9,G,-9604500,,,,,
141,8,G,-9406865,,,,,
145,9,G,-9276310,,,,,
149,8,G,-9144724,,,,,
153,9,G,-9341855,,,,,
157,8,G,-9144220,,,,,
161,9,G,-9734303,,,,,
165,8,G,-9668510,,,,,
169,9,G,-9144976,,,,,
173,8,G,-9144976,,,,,
177,9,G,-9144726,,,,,
181,8,G,-9013141,,,,,
184,9,R,-8752546,,,,,
190,8,R,-8752546,,,,,
193,9,G,-9406867,,,,,
197,8,G,-9406867,,,,,
201,8,B,-9211523,,,,,
205,8,B,-8948351,,,,,
209,9,G,-9078156,,,,,
213,8,G,-9275278,,,,,
217,9,G,-9143699,,,,,
221,8,G,-9143699,,,,,
224,9,R,-8490394,,,,,
230,8,R,-8424601,,,,,
233,9,G,-9143449,,,,,
237,8,G,-9340572,,,,,
241,9,G,-9405333,,,,,
245,8,G,-9536920,,,,,
248,9,R,-8882317,,,,,
254,8,R,-8948110,,,,,
257,8,B,-9341574,,,,,
261,8,B,-9407367,,,,,
265,9,G,-9144722,,,,,
269,8,G,-9210771,,,,,
272,9,R,-8883594,,,,,
278,8,R,-8751751,,,,,
281,9,G,-8947599,,,,,
285,8,G,-8947599,,,,,
289,9,G,-9013141,,,,,
293,8,G,-9013141,,,,,
297,9,G,-9733781,,,,,
301,8,G,-9470865,,,,,
305,9,G,-9276310,,,,,
309,8,G,-9210517,,,,,
312,9,R,-9014923,,,,,
318,8,R,-9014923,,,,,
321,9,G,-9406869,,,,,
325,8,G,-9275026,,,,,
331,8,W,-9211021,,,,,
333,8,W,-9276814,,,,,
337,9,G,-9405833,,,,,
341,8,G,-9537420,,,,,
344,9,R,-9080718,,,,,
350,8,R,-9080718,,,,,
353,8,B,-8950663,,,,,
357,8,B,-8950663,,,,,
361,8,B,-9211273,,,,,
365,8,B,-9277066,,,,,
368,9,R,-9081236,,,,,
374,8,R,-9081236,,,,,
377,9,G,-9734551,,,,,
381,8,G,-9668758,,,,,
385,9,G,-9210265,,,,,
389,8,G,-9407900,,,,,
393,9,G,-9669523,,,,,
397,8,G,-9669523,,,,,
401,9,G,-9603478,,,,,
405,8,G,-9669271,,,,,
409,8,B,-9408654,,,,,
413,9,G,-9342605,,,,,
417,8,G,-9342105,,,,,
421,9,G,-9407898,,,,,
425,8,B,-9278347,,,,,
429,8,B,-9146761,,,,,
433,8,B,-9343118,,,,,
437,8,B,-9474961,,,,,
441,8,G,-9407900,,,,,
445,9,G,-9407900,,,,,
450,8,W,-9408400,,,,,
452,8,W,-9671572,,,,,
457,8,B,-9408654,,,,,
461,8,G,-9605777,,,,,
465,9,G,-9734814,,,,,
469,8,G,-9734814,,,,,
473,8,B,-9343118,,,,,
477,8,B,-9474961,,,,,
481,9,G,-9604752,,,,,
485,8,G,-9736081,,,,,
489,9,G,-9801375,,,,,
493,8,G,-9932961,,,,,
497,9,G,-10064277,,,,,
501,8,G,-9669775,,,,,
505,9,G,-9932177,,,,,
509,8,G,-9866384,,,,,
513,9,G,-9735577,,,,,
517,8,G,-9735577,,,,,
521,9,G,-10060965,,,,,
525,8,G,-10389930,,,,,
529,9,G,-9801623,,,,,
533,8,G,-9867416,,,,,
536,9,R,-9344152,,,,,
542,8,R,-9344152,,,,,
545,9,G,-9998506,,,,,
549,8,G,-9998506,,,,,
553,9,G,-10196380,,,,,
557,8,G,-9933209,,,,,
560,9,R,-9410962,,,,,
566,8,R,-9410962,,,,,
569,9,G,-9802906,,,,,
573,8,G,-9474197,,,,,
577,9,G,-9734824,,,,,
581,8,G,-10195375,,,,,
585,8,B,-9805205,,,,,
589,8,B,-9542289,,,,,
593,9,G,-10129318,,,,,
597,8,G,-10129318,,,,,
601,9,G,-9868197,,,,,
605,8,G,-10131369,,,,,
609,9,G,-9999006,,,,,
613,8,G,-10064799,,,,,
617,9,G,-10392226,,,,,
621,8,G,-10458020,,,,,
625,9,G,-10523031,,,,,
629,8,G,-10786460,,,,,
632,9,R,-10199197,,,,,
638,8,R,-9738646,,,,,
1,14,G,-9077652,,,,,
4,12,G,-9340824,,,,,
9,13,G,-9143197,,,,,
13,11,G,-9143197,,,,,
17,12,G,-9079451,,,,,
21,11,G,-9079451,,,,,
24,14,R,-8619679,,,,,
30,13,R,-8553886,,,,,
32,13,R,-8752535,,,,,
38,12,R,-8883864,,,,,
40,13,R,-8949646,,,,,
46,12,R,-8883853,,,,,
49,12,G,-9538205,,,,,
53,11,G,-9472412,,,,,
57,11,G,-9471906,,,,,
61,11,G,-9406113,,,,,
64,13,R,-9343120,,,,,
70,12,R,-9014156,,,,,
73,11,G,-9342618,,,,,
76,13,R,-9079703,,,,,
82,12,R,-8752283,,,,,
84,12,R,-8949661,,,,,
90,12,R,-9211541,,,,,
92,12,R,-9145748,,,,,
97,11,G,-9341853,,,,,
101,11,G,-9341853,,,,,
106,12,R,-8949657,,,,,
108,12,R,-8949657,,,,,
113,11,G,-9341074,,,,,
117,11,G,-9406867,,,,,
121,11,G,-9538205,,,,,
125,11,G,-9406363,,,,,
130,12,R,-9145496,,,,,
